domainId,domainName,constructId,constructName,facetId,facetName,definition,epistemicTier,isOptionalModule,primaryInstrumentId,minItemsTarget,standardFormTarget,maxBankTarget
core_personality,"Core Personality",honesty_humility,"Honesty-Humility (Dürüstlük-Alçakgönüllülük)",sincerity,"Sincerity (İçtenlik)","Kişilerarası ilişkilerde yapmacıklıktan, manipülasyondan ve dalkavukluktan kaçınma eğilimi.",A,false,inst_ipip_hexaco,3,6,16
core_personality,"Core Personality",honesty_humility,"Honesty-Humility (Dürüstlük-Alçakgönüllülük)",fairness,"Fairness (Adalet)","Hile, yolsuzluk, rüşvet ve kayırmacılıktan uzak durarak adil davranma ilkesi.",A,false,inst_ipip_hexaco,3,6,16
core_personality,"Core Personality",honesty_humility,"Honesty-Humility (Dürüstlük-Alçakgönüllülük)",greed_avoidance,"Greed Avoidance (Açgözlülükten Kaçınma)","Aşırı zenginlik, lüks tüketim ve gösterişli statü sembolleri peşinde koşmama eğilimi.",A,false,inst_ipip_hexaco,3,6,16
core_personality,"Core Personality",honesty_humility,"Honesty-Humility (Dürüstlük-Alçakgönüllülük)",modesty,"Modesty (Tevazu)","Kendini başkalarından üstün veya özel ayrıcalıklara layık görmeme tutumu.",A,false,inst_ipip_hexaco,3,6,16
core_personality,"Core Personality",emotionality,"Emotionality (Duygusallık / Hassasiyet)",fearfulness,"Fearfulness (Korku Hassasiyeti)","Fiziksel tehlike, acı veya bedensel zarar içeren durumlara karşı duyarlılık ve kaçınma.",A,false,inst_ipip_hexaco,3,6,16
core_personality,"Core Personality",emotionality,"Emotionality (Duygusallık / Hassasiyet)",anxiety_proneness,"Anxiety Proneness (Kaygı Eğilimi)","Gelecekteki belirsizlikler, olası güçlükler ve stresörler karşısında endişelenme eğilimi.",A,false,inst_ipip_hexaco,3,6,16
core_personality,"Core Personality",emotionality,"Emotionality (Duygusallık / Hassasiyet)",dependence,"Dependence (Duygusal Destek İhtiyacı)","Zor zamanlarda duygusal teselli, onay ve yakınlarına yaslanma ihtiyacı.",A,false,inst_ipip_hexaco,3,6,16
core_personality,"Core Personality",emotionality,"Emotionality (Duygusallık / Hassasiyet)",sentimentality,"Sentimentality (Duygusal Bağlılık ve Hüzün)","Derin duygusal bağlar kurma, vedalarda veya hüzünlü sanatsal uyaranlarda çabuk duygulanma.",A,false,inst_ipip_hexaco,3,6,16
core_personality,"Core Personality",extraversion,"Extraversion (Dışadönüklük)",social_self_esteem,"Social Self-Esteem (Sosyal Özsaygı)","Sosyal ortamlarda kendini rahat, kabul görmüş ve değerli hissetme eğilimi.",A,false,inst_ipip_hexaco,3,6,16
core_personality,"Core Personality",extraversion,"Extraversion (Dışadönüklük)",social_boldness,"Social Boldness (Sosyal Cesaret / Liderlik)","Grup içinde söz alma, topluluk önünde konuşma ve yönlendirici rol üstlenme rahatlığı.",A,false,inst_ipip_hexaco,3,6,16
core_personality,"Core Personality",extraversion,"Extraversion (Dışadönüklük)",sociability,"Sociability (Sosyallik)","İnsanlarla bir arada bulunmaktan ve grup etkileşimlerinden keyif alma eğilimi.",A,false,inst_ipip_hexaco,3,6,16
core_personality,"Core Personality",extraversion,"Extraversion (Dışadönüklük)",liveliness,"Liveliness (Canlılık ve İyimser Coşku)","Genel yaşam enerjisi, neşe, heves ve pozitif duygulanım aktarımı.",A,false,inst_ipip_hexaco,3,6,16
core_personality,"Core Personality",agreeableness,"Agreeableness (Geçimlilik / Hoşgörü)",forgiveness,"Forgiveness (Bağışlayıcılık)","Haksızlık yapanlara karşı kin tutmama ve affetmeye açık olma eğilimi.",A,false,inst_ipip_hexaco,3,6,16
core_personality,"Core Personality",agreeableness,"Agreeableness (Geçimlilik / Hoşgörü)",gentleness,"Gentleness (Yumuşak Başlılık)","İletişimde sertlik ve kabalıktan kaçınma, yapıcı ve nazik olma tutumu.",A,false,inst_ipip_hexaco,3,6,16
core_personality,"Core Personality",agreeableness,"Agreeableness (Geçimlilik / Hoşgörü)",flexibility,"Flexibility (Uzlaşmacılık)","Ortak kararlarda inatçılık yapmama, başkalarının görüşlerine uyum sağlama esnekliği.",A,false,inst_ipip_hexaco,3,6,16
core_personality,"Core Personality",agreeableness,"Agreeableness (Geçimlilik / Hoşgörü)",patience,"Patience (Sabır / Sakinlik)","Tahrik ve engellenme anlarında öfke patlaması yaşamama, sakin kalabilme kapasitesi.",A,false,inst_ipip_hexaco,3,6,16
core_personality,"Core Personality",conscientiousness,"Conscientiousness (Sorumluluk / Öz-Disiplin)",organization,"Organization (Düzenlilik)","Yaşam ve çalışma alanlarını, görevleri yapılandırılmış ve düzenli tutma eğilimi.",A,false,inst_ipip_hexaco,3,6,16
core_personality,"Core Personality",conscientiousness,"Conscientiousness (Sorumluluk / Öz-Disiplin)",diligence,"Diligence (Çalışkanlık)","Zorlu görevleri başarıyla sonuçlandırmak için yoğun çaba sarf etme disiplini.",A,false,inst_ipip_hexaco,3,6,16
core_personality,"Core Personality",conscientiousness,"Conscientiousness (Sorumluluk / Öz-Disiplin)",perfectionism,"Perfectionism (Yüksek Standart Titizliği)","Detaylara aşırı özen gösterme ve yüksek kalite standartları talep etme.",A,false,inst_ipip_hexaco,3,6,16
core_personality,"Core Personality",conscientiousness,"Conscientiousness (Sorumluluk / Öz-Disiplin)",prudence,"Prudence (Tedbirlilik)","Karar alırken dürtüsel davranmama, olası sonuçları dikkatle tartma alışkanlığı.",A,false,inst_ipip_hexaco,3,6,16
core_personality,"Core Personality",openness,"Openness to Experience (Deneyime Açıklık)",aesthetic_appreciation,"Aesthetic Appreciation (Estetik Duyarlılık)","Sanat, doğa güzelliği, müzik ve tasarımdan derinden etkilenme kapasitesi.",A,false,inst_ipip_hexaco,3,6,16
core_personality,"Core Personality",openness,"Openness to Experience (Deneyime Açıklık)",inquisitiveness,"Inquisitiveness (Entelektüel Merak)","Doğa bilimleri, felsefe, tarih ve yeni bilgi alanlarını öğrenme açlığı.",A,false,inst_ipip_hexaco,3,6,16
core_personality,"Core Personality",openness,"Openness to Experience (Deneyime Açıklık)",creativity,"Creativity (Yaratıcı İfade)","Problemlere özgün çözümler geliştirme ve yeni fikirler üretme hevesi.",A,false,inst_ipip_hexaco,3,6,16
core_personality,"Core Personality",openness,"Openness to Experience (Deneyime Açıklık)",unconventionality,"Unconventionality (Gelenekdışılık)","Alışılmışın dışındaki görüşlere, marjinal fikirlere ve yaşam tarzlarına açıklık.",A,false,inst_ipip_hexaco,3,6,16
self_system,"Self-System & Identity",self_evaluation,"Self-Evaluation Structure (Benlik Değerlendirmesi)",core_self_esteem,"Core Self-Esteem (Temel Benlik Saygısı)","Bireyin kendi varoluşuna ve değerine ilişkin genel, koşulsuz özsaygı düzeyi.",A,false,inst_rses,3,6,12
self_system,"Self-System & Identity",self_evaluation,"Self-Evaluation Structure (Benlik Değerlendirmesi)",contingent_self_worth,"Contingent Self-Worth (Koşullu Öz-Değer)","Öz-değer hissinin dışsal başarıya, akademik/mesleki performansa veya başkalarının beğenisine endeksli olma derecesi.",B,false,inst_rses,3,6,12
self_system,"Self-System & Identity",self_evaluation,"Self-Evaluation Structure (Benlik Değerlendirmesi)",self_compassion,"Self-Compassion (Öz-Şefkat)","Başarısızlık ve acı anlarında kendine acımasızca saldırmak yerine anlayış ve şefkat gösterebilme.",A,false,inst_scs_sf,3,6,12
self_system,"Self-System & Identity",agency_mastery,"Agency & Mastery (Yetkinlik ve İrade)",generalized_self_efficacy,"Generalized Self-Efficacy (Genel Öz-Yeterlilik)","Yeni veya zorlu taleplerle karşılaştığında gereken eylemleri başarıyla organize edip yürütebilme inancı.",A,false,inst_gses,3,6,12
self_system,"Self-System & Identity",agency_mastery,"Agency & Mastery (Yetkinlik ve İrade)",locus_of_control,"Internal Locus of Control (İçsel Kontrol Odağı)","Yaşam sonuçlarının kader, şans veya güçlü diğerleri yerine kendi kararları ve eylemleri tarafından belirlendiği inancı.",B,false,inst_gses,3,6,12
self_system,"Self-System & Identity",identity_integrity,"Identity Integrity (Kimlik Bütünlüğü)",self_concept_clarity,"Self-Concept Clarity (Benlik Kavramı Netliği)","Benliğe dair inançların açık, içsel olarak tutarlı ve zaman içinde kararlı olması.",A,false,inst_sccs,3,6,12
self_system,"Self-System & Identity",identity_integrity,"Identity Integrity (Kimlik Bütünlüğü)",authenticity,"Authenticity (Özgünlük)","Dış baskılara boyun eğmek yerine kendi derin değerleri ve gerçek hisleriyle uyumlu yaşama cesareti.",B,false,inst_sccs,3,6,12
emotion_regulation,"Emotion & Affect Regulation",emotion_regulation_strategies,"Emotion Regulation Strategies (Duygu Düzenleme)",cognitive_reappraisal,"Cognitive Reappraisal (Bilişsel Yeniden Değerlendirme)","Duygusal tepkiyi azaltmak veya değiştirmek için duruma yüklenen anlamı zihinsel olarak yeniden çerçeveleme eğilimi.",A,false,inst_erq,3,6,12
emotion_regulation,"Emotion & Affect Regulation",emotion_regulation_strategies,"Emotion Regulation Strategies (Duygu Düzenleme)",expressive_suppression,"Expressive Suppression (Duygusal İfadeyi Bastırma)","Yaşanan duyguların dışavurumunu fiziksel, mimiksel veya sözel olarak baskılama ve gizleme eğilimi.",A,false,inst_erq,3,6,12
emotion_regulation,"Emotion & Affect Regulation",affective_dynamics,"Affective Dynamics (Duygulanım Dinamikleri)",emotional_reactivity,"Emotional Reactivity (Duygusal Reaktivite)","Çevresel veya içsel duygusal tetikleyiciler karşısında aniden ve yüksek şiddette uyarılma derecesi.",B,false,inst_dts,3,6,12
emotion_regulation,"Emotion & Affect Regulation",affective_dynamics,"Affective Dynamics (Duygulanım Dinamikleri)",emotional_recovery,"Emotional Recovery (Duygusal Toparlanma Hızı)","Yoğun bir duygusal sarsıntı veya öfke sonrasında nötr/sakin bazal çizgiye dönme sürati.",B,false,inst_dts,3,6,12
emotion_regulation,"Emotion & Affect Regulation",affective_dynamics,"Affective Dynamics (Duygulanım Dinamikleri)",trait_positive_affect,"Trait Positive Affect (Pozitif Duygulanım Eğilimi)","Coşku, canlılık, heyecan ve gurur gibi olumlu duyguları düzenli deneyimleme sıklığı.",A,false,inst_panas,3,6,12
emotion_regulation,"Emotion & Affect Regulation",affective_dynamics,"Affective Dynamics (Duygulanım Dinamikleri)",trait_negative_affect,"Trait Negative Affect (Negatif Duygulanım Eğilimi)","Kaygı, hüzün, suçluluk ve tedirginlik gibi zorlayıcı duyguları düzenli yaşama sıklığı.",A,false,inst_panas,3,6,12
emotion_regulation,"Emotion & Affect Regulation",distress_management,"Distress Management (Zorlayıcı Yaşantı Yönetimi)",distress_tolerance,"Distress Tolerance (Sıkıntıya Dayanıklılık)","Olumsuz içsel duygusal durumları felaketleştirmeden onlarla bir arada kalabilme kapasitesi.",A,false,inst_dts,3,6,12
emotion_regulation,"Emotion & Affect Regulation",distress_management,"Distress Management (Zorlayıcı Yaşantı Yönetimi)",experiential_avoidance,"Experiential Avoidance (Yaşantısal Kaçınma)","İstenmeyen düşünce, anı veya hislerden kaçınmak için davranış repertuarını daraltma eğilimi.",B,false,inst_dts,3,6,12
